Thenglish,English,Hindi
mudhal kaaranam,initial reason,प्रारंभिक कारण
ilam illam,young home,युवा घर
pudhu tharam,new type,नई प्रकार
pakkam irukkum,to be nearby,नजदीक होना
kanavil uravugal,relationships in dreams,सपनों में संबंध
aangai,gesture,इशारा
azhuvathu,to cry,रोना
santhosham aanadhu,it has become happiness,यह खुशी बन गई है
thodangam,to begin,शुरू करना
idhu enna solra,what does this say?,यह क्या कहता है?
thiramai,intelligence,बुद्धिमत्ता
vaangiya,to purchase,खरीदना
irudhi tharam,solution offering,हल पेश करना
oru malai,one mountain,एक पर्वत
sorugai,tide,लहर
thagaval tharum,to provide information,जानकारी देना
annai arangam,mothers stage,माँ का मंच
thunaiyaga kaathu,to listen as support,समर्थन के रूप में सुनना
oru siridhanam,one surprise,एक आश्चर्य
pudhiya alaiyin mudi,cap of new wave,नई लहर की टोपी
pazhaya vaazhkai,old life,पुराना जीवन
ithaiya paadhi,half of this,इसके आधे
oru thaagam,one opportunity,एक अवसर
unga paeru enna,what is your name?,आपका नाम क्या है?
engal vaazhkai,our life,हमारा जीवन
paasumponna,blessings,आशीर्वाद
inimeyum azhagiya,always beautiful,हमेशा सुंदर
ennoda thonivu,my intention,मेरी मंशा
intha velai enna?,what is this work?,यह काम क्या है?
avanga enna pesuvanga?,what do they say?,वे क्या कहते हैं?
unnai pirandhu enna?,what about your birth?,आपका जन्म कैसे हुआ?
idhu enna tharam?,what kind is this?,यह किस प्रकार का है?
yenna paakalam?,what shall we see?,हम क्या देखें?
maiyam,truth,सत्य
thadavai,time,समय
sirupuli,small tamarind,छोटी इमली
vaatukku maruthuvam,medicine for the wind,हवा के लिए दवा
manidhar,human beings,मनुष्य
appalam podi,papad powder,पापड़ का पाउडर
kothu satham,chopped rice,कटे हुए चावल
karuvadu,dried fish,सूखी मछली
kottai nadathaal,fort city,किला शहर
palam,bridge,पुल
vazhi ilakkam,pathway,मार्ग
thenru,southern region,दक्षिण क्षेत्र
veedugai,household,गृहस्थ
agaitha azhagi,unexpected beauty,अप्रत्याशित सुंदरता
vetri,victory,जीत
azhviyal,to cry out,चिल्लाना
virundhu,feast,भोजन
sandhanam,feeling,भावना
padhivugal,talents,प्रतिभाएँ
vazhvum,living,जीना
thaanum,that also,वह भी
koothu,dance,नृत्य
nalam,good health,अच्छा स्वास्थ्य
oru inbam,one joy,एक खुशी
uraiyaga,to speak,बोलना
varigal,words,शब्द
uru kadi,one story,एक कहानी
kannathai thaandi,beyond the eyes,आँखों के परे
anaiya thondam,together as a group,एक समूह के रूप में
kurai seyyum,to lower,कम करना
thaeduthal,to seek,खोजना
varaikkum porumai,patience until,तक धैर्य
santhippu,meeting,भेंट
koodam,shelter,आश्रय
azhaigal,tears,आँसू
suthanthiram,freedom,स्वतंत्रता
seyyum,to do,करना
pudhiya,new,नया
saram,essence,सार
irukkai,existence,अस्तित्व
pazhaiya,old,पुराना
sappittiya,belly,पेट
kolam,design,डिज़ाइन
malai,cream,क्रीम
mannam,connection,संबंध
maranai,death,मृत्यु
anbu uyir,soul mate,आत्मा साथी
siru thunai,small support,छोटा समर्थन
pangu,participation,भागीदारी
kuthirai,horse,घोडा
ozhukkam,flow,प्रवाह
panimalai,sculpture,मूर्ति
uyir,life,जीवन
sannathi,peace,शांति
thirumanam,marriage,शादी
murugan,god,ईश्वर
theviyam,wisdom,ज्ञान
valarpu,growth,विकास
thavichu,sacrifice,बलिदान
thuvaru,gift,उपहार
mozhigal,languages,भाषाएँ
poovukkum,to the flower,फूल के लिए
paadaikaru,inspiration,प्रेरणा
thiram,skill,कौशल
viyandha,celebration,उत्सव
thikayil,environment,पर्यावरण
valiya,big,बड़ा
pudhu,new,नया
yennai,me,मुझे
aadal,dance,नृत्य
ariviyal,knowledge,ज्ञान
anugraham,blessing,आशीर्वाद
ugandhu,happy,खुश
naalum,tomorrow,कल
vennira,white,सफेद
iru,two,दो
pudhuvarai,newly,नए तरीके से
thendral,breeze,हवा
perungudi,famous,प्रसिद्ध
varisai,heritage,विरासत
vazhthugal,congratulations,बधाई
enakku,for me,मेरे लिए
irundhaal,if you are,अगर आप हैं
paadum,to sing,गाना
aval,she,वह
kuttai,baby,बच्चा
thaniyam,grain,अनाज
maadhavan,lovable,प्रेमी
thadam,step,कदम
thothu,gift,उपहार
thinaivayal,importance,महत्त्व
varai,to reach,पहुँचना
periya,big,बड़ा
raja,king,राजा
sivappu,red,लाल
